基金代码,基金名称,基金类型,基金经理,今日净值,昨日净值,累计净值,今日涨跌幅,过去一月涨跌幅,过去三月涨跌幅,过去六月涨跌幅,过去一年涨跌幅,过去三年涨跌幅,成立以来涨跌幅
090006,大成2020生命周期混合,混合型,王磊,0.764,0.764,2.586,0.00%,0.39%,0.92%,4.51%,10.25%,7.00%,147.20%
090007,大成策略回报混合,混合型,徐彦,1.0319,1.027,2.814,0.48%,2.50%,-4.29%,5.87%,16.52%,17.17%,366.18%
090009,大成行业轮动混合,混合型,王磊,1.9826,1.978,1.978,0.23%,5.89%,-4.07%,13.29%,41.08%,39.69%,97.80%
090010,大成中证红利指数A,股票指数,夏高,1.5534,1.553,1.709,0.03%,0.32%,-6.28%,-3.72%,-5.46%,8.94%,70.16%
090011,大成核心双动力混合,混合型,张钟玉,1.1181,1.111,1.711,0.64%,0.54%,-4.64%,5.31%,17.07%,18.56%,80.70%
090012,大成深证成长40ETF联接,联接基金,张钟玉,1.1645,1.167,1.167,-0.22%,2.82%,-4.42%,27.96%,54.98%,26.16%,16.70%
090013,大成竞争优势混合,混合型,徐彦,0.994,0.991,2.001,0.31%,3.77%,-5.26%,-1.59%,-8.58%,-10.96%,100.10%
090015,大成内需增长混合A,混合型,张烨,3.4399,3.453,3.453,-0.38%,7.40%,9.83%,21.46%,45.39%,52.11%,245.30%
090016,大成消费主题混合,混合型,齐炜中,1.1213,1.129,1.386,-0.68%,8.35%,5.61%,21.27%,37.01%,38.02%,41.19%
090017,大成可转债增强债券,债券型,李富强,1.1528,1.15,1.16,0.25%,-4.56%,-10.44%,6.78%,11.00%,3.42%,16.08%
090018,大成新锐产业混合,混合型,韩创,2.0773,2.079,2.579,-0.08%,4.26%,-4.06%,14.17%,30.75%,36.06%,186.49%
090019,大成景恒混合A,混合型,苏秉毅,1.4151,1.418,1.898,-0.20%,0.78%,2.24%,12.54%,11.22%,41.38%,89.83%
090020,大成健康产业混合,混合型,杨挺,1.303,1.305,1.305,-0.16%,6.79%,16.31%,39.57%,63.13%,44.68%,30.50%
092002,大成债券C,债券型,王立,1.0678,1.0671,2.1638,0.07%,-1.11%,-1.16%,2.86%,4.92%,19.76%,145.51%
096001,大成标普500等权重指数,QDII-指数,冉凌浩,1.711,1.677,1.951,2.03%,8.19%,-8.91%,-12.57%,-3.04%,9.77%,98.59%
100016,富国天源沪港深平衡混合,混合型,易智泉,2.2088,2.209,3.922,-0.01%,5.29%,7.76%,23.41%,47.46%,54.15%,694.76%
100018,富国天利增长债券,债券型,黄纪亮,1.3295,1.3288,2.6218,0.05%,-0.87%,0.30%,3.73%,6.61%,20.44%,285.52%
100020,富国天益价值混合,混合型,唐颐恒,1.6941,1.6916,5.1979,0.15%,6.12%,4.76%,15.87%,38.60%,78.94%,1427.19%
100022,富国天瑞强势混合,混合型,厉叶淼,0.6681,0.6698,4.8001,-0.26%,1.13%,-6.94%,20.54%,43.62%,57.52%,1116.60%
100026,富国天合稳健优选混合,混合型,张啸伟,1.5576,1.549,3.8495,0.55%,1.82%,-0.52%,14.51%,31.21%,52.50%,684.10%
100029,富国天成红利混合,混合型,侯梧,1.3167,1.3204,2.7594,-0.28%,3.33%,3.11%,22.73%,45.73%,45.55%,280.15%
100032,富国中证红利指数增强A,股票指数,徐幼华,0.9654,0.965,2.668,0.04%,0.63%,-4.97%,-2.11%,-2.38%,6.52%,189.69%
100035,富国优化增强债券A/B,债券型,张明凯,1.6599,1.657,1.872,0.17%,-2.14%,-3.39%,3.60%,8.85%,18.58%,91.55%
100037,富国优化增强债券C,债券型,张明凯,1.5787,1.576,1.791,0.17%,-2.24%,-3.55%,3.33%,8.34%,17.10%,83.01%
100038,富国沪深300指数增强,股票指数,李笑薇,1.6192,1.607,1.963,0.76%,0.37%,-5.02%,-0.62%,9.21%,32.23%,99.80%
100039,富国通胀通缩主题轮动混合,混合型,曹晋,2.5832,2.588,2.638,-0.18%,3.27%,-8.19%,23.71%,56.75%,92.42%,169.87%
100050,富国全球债券(QDII),QDII,沈博文,--,1.2034,1.2034, ,1.73%,0.45%,1.78%,5.28%,8.81%,20.34%
100051,富国可转债,债券型,张明凯,1.6529,1.647,1.647,0.36%,-3.80%,-8.50%,6.33%,13.74%,18.15%,64.70%
100053,富国上证综指ETF联接,联接基金,王保合,1.2656,1.257,1.257,0.68%,1.45%,-3.38%,1.70%,7.99%,5.99%,25.70%
100055,富国全球科技互联网(QDII),QDII,张峰,1.8655,1.8442,1.8442,1.16%,11.74%,4.99%,17.90%,41.59%,31.26%,84.42%
100056,富国低碳环保混合,混合型,魏伟,2.4408,2.426,2.426,0.61%,1.89%,-1.10%,1.21%,6.97%,-0.53%,142.60%
100058,富国产业债券A,债券型,黄纪亮,1.1094,1.1092,1.5442,0.02%,-0.39%,1.03%,2.90%,5.43%,19.73%,67.25%
100060,富国高新技术产业混合,混合型,李元博,2.6442,2.65,3.301,-0.22%,11.02%,-5.86%,27.16%,60.83%,85.13%,269.64%
